sale_id,sale_date,customer,product,category,region,quantity,unit_price
82,2024-12-18,Customer_045,Smartphone,Mobile Devices,Midwest,1.0,2139.62
83,2024-11-16,Customer_015,Notebook,Computers,South,4.0,3945.11
84,2024-03-25,Customer_029,Tablet,Mobile Devices,Southeast,3.0,1568.56
85,2024-05-19,Customer_028,Monitor,Computers,Northeast,5.0,1271.9
86,2024-04-27,Customer_049,Keyboard,Peripherals,Northeast,5.0,214.44
87,2024-03-30,Customer_038,Keyboard,Peripherals,Midwest,1.0,269.73
88,2024-08-28,Customer_022,Mouse,Peripherals,Midwest,8.0,136.89
89,2024-07-24,Customer_021,Mouse,Peripherals,Southeast,8.0,112.38
90,2024-01-01,Customer_024,Headset,Peripherals,North,7.0,388.32
91,2024-01-27,Customer_045,Headset,Peripherals,Midwest,8.0,363.17
92,INVALID DATE,Customer_027,Notebook,Computers,Southeast,1.0,3996.8
93,2024-03-01,Customer_046,Smartphone,Mobile Devices,Northeast,2.0,2174.56
94,2024-05-04,Customer_048,Monitor,Computers,South,8.0,1372.89
95,INVALID DATE,Customer_047,Headset,Peripherals,Northeast,2.0,326.51
96,2024-12-03,Customer_036,Headset,Peripherals,North,10.0,358.39
97,2024-04-06,Customer_027,Monitor,Computers,Southeast,8.0,1355.83
98,2024-07-14,Customer_032,Tablet,Mobile Devices,Southeast,8.0,1910.82
99,2024-06-18,Customer_030,Smartphone,Mobile Devices,Southeast,9.0,2507.13
100,2024-12-01,Customer_040,Mouse,Peripherals,Midwest,3.0,116.76
101,2024-12-11,Customer_049,Mouse,Peripherals,Midwest,2.0,132.66
102,2024-02-05,Customer_006,Headset,Peripherals,Midwest,9.0,301.27
103,2024-12-21,Customer_023,Notebook,Computers,Northeast,2.0,
104,2024-07-29,Customer_025,Monitor,Computers,North,3.0,1107.91
105,2024-10-25,Customer_001,Mouse,Peripherals,Midwest,4.0,119.92
106,2024-08-14,Customer_045,Tablet,Mobile Devices,Northeast,9.0,1615.31
107,2024-07-15,Customer_019,Monitor,Computers,Northeast,5.0,1091.72
108,2024-10-16,Customer_048,Notebook,Computers,Midwest,7.0,3263.2
109,2024-04-27,Customer_044,Headset,Peripherals,South,5.0,378.95
110,2024-11-26,Customer_009,Mouse,Peripherals,Southeast,,134.52
111,2024-03-30,Customer_033,Tablet,Mobile Devices,Northeast,6.0,1933.64
112,2024-09-03,Customer_030,Headset,Peripherals,Southeast,3.0,324.48
113,2024-12-11,Customer_026,Smartphone,Mobile Devices,Southeast,4.0,2437.69
114,2024-07-07,Customer_024,Tablet,Mobile Devices,Southeast,9.0,1596.74
115,2024-11-13,Customer_005,Mouse,Peripherals,Midwest,4.0,118.97
116,2024-02-29,Customer_007,Mouse,Peripherals,South,5.0,125.37
117,2024-07-08,Customer_048,Keyboard,Peripherals,South,3.0,241.65
118,2024-11-11,Customer_029,Monitor,Computers,Midwest,2.0,1320.13
119,2024-12-17,Customer_018,Smartphone,Mobile Devices,South,6.0,1935.57
120,2024-04-18,Customer_016,  Notebook,Computers,South,8.0,3071.26
121,2024-10-10,Customer_010,Headset,Peripherals,North,10.0,319.05
122,2024-03-15,Customer_002,Notebook,Computers,South,5.0,3876.33
123,2024-05-01,Customer_027,Notebook,Computers,North,6.0,
124,2024-07-04,Customer_003,Notebook,Computers,North,2.0,3475.06
125,2024-01-16,Customer_032,Tablet,Mobile Devices,Midwest,8.0,1877.4
126,2024-03-16,Customer_021,Notebook,Computers,Midwest,2.0,3313.22
127,2024-09-15,Customer_042,Keyboard,Peripherals,North,9.0,234.62
128,2024-04-26,Customer_021,Mouse,Peripherals,Midwest,4.0,117.48
129,2024-03-19,Customer_028,Tablet,Mobile Devices,Southeast,5.0,1732.12
130,2024-10-11,Customer_027,Mouse,Peripherals,Northeast,6.0,131.22
131,2024-01-27,Customer_014,Headset,Peripherals,South,7.0,388.65
132,2024-02-25,Customer_015,Mouse,Peripherals,Midwest,8.0,110.07
133,2024-11-14,Customer_045,  Headset,Peripherals,Northeast,9.0,399.83
134,2024-06-07,Customer_043,Notebook,Computers,Midwest,3.0,3261.93
135,2024-01-16,Customer_011,Notebook,Computers,Northeast,3.0,3753.02
136,2024-10-17,Customer_004,Tablet,Mobile Devices,Southeast,6.0,1949.49
137,2024-09-05,Customer_023,Tablet,Mobile Devices,Midwest,8.0,1887.45
138,2024-10-30,Customer_039,Notebook,Computers,Southeast,5.0,3687.13
139,2024-04-18,Customer_032,Notebook,Computers,Midwest,4.0,3291.49
140,2024-12-26,Customer_026,Smartphone,Mobile Devices,Southeast,3.0,2120.94
141,2024-02-09,Customer_027,Monitor,Computers,Northeast,1.0,1185.51
142,2024-06-15,Customer_024,Notebook,Computers,Southeast,7.0,2996.9
143,2024-10-28,Customer_015,Monitor,Computers,Northeast,2.0,1107.59
144,2024-11-20,Customer_047,Headset,Peripherals,South,3.0,305.52
145,2024-04-11,Customer_050,Smartphone,Mobile Devices,Midwest,2.0,1966.65
146,2024-08-17,Customer_021,Monitor,Computers,Northeast,10.0,1293.56
147,2024-08-14,Customer_005,Smartphone,Mobile Devices,Northeast,8.0,1915.07
148,2024-07-07,Customer_040,Monitor,Computers,North,8.0,1033.54
149,2024-10-10,Customer_037,Keyboard,Peripherals,South,7.0,247.2
150,2024-03-18,Customer_046,Tablet,Mobile Devices,Southeast,10.0,1786.84
151,2024-12-28,Customer_024,Keyboard,Peripherals,Northeast,3.0,215.44
152,2024-12-13,Customer_007,Monitor,Computers,North,7.0,1298.81
153,2024-12-02,Customer_043,Mouse,Peripherals,South,7.0,112.23
154,2024-12-23,Customer_036,Tablet,Mobile Devices,Midwest,5.0,2052.56
155,2024-12-09,Customer_006,Mouse,Peripherals,Midwest,6.0,131.27
156,2024-06-07,Customer_015,Keyboard,Peripherals,South,6.0,213.87
157,2024-02-21,Customer_043,Smartphone,Mobile Devices,Northeast,2.0,2065.22
158,2024-07-11,Customer_011,Headset,Peripherals,Midwest,10.0,311.26
159,2024-05-01,Customer_015,Notebook,Computers,North,7.0,3357.51
160,2024-08-28,Customer_029,Smartphone,Mobile Devices,Midwest,5.0,2507.29
161,2024-09-14,Customer_009,Headset,Peripherals,Northeast,5.0,379.2
162,2024-10-10,Customer_006,Notebook,Computers,South,8.0,3892.82
163,2024-03-16,Customer_023,Tablet,Mobile Devices,Southeast,8.0,2018.87
164,2024-07-10,Customer_007,Monitor,Computers,Northeast,1.0,1162.72
165,2024-05-26,Customer_031,Headset,Peripherals,Midwest,3.0,311.95
166,2024-01-10,Customer_034,Keyboard,Peripherals,Midwest,1.0,280.44
167,2024-03-03,Customer_008,Notebook,Computers,Midwest,,3224.52
168,INVALID DATE,Customer_023,Keyboard,Peripherals,South,9.0,213.73
169,2024-12-08,Customer_033,Keyboard,Peripherals,North,7.0,226.55
170,2024-08-28,Customer_023,Keyboard,Peripherals,Southeast,,241.78
171,2024-11-17,Customer_023,Tablet,Mobile Devices,North,4.0,1925.79
172,2024-12-16,Customer_005,Tablet,Mobile Devices,Midwest,3.0,1978.41
173,2024-04-12,Customer_035,Notebook,Computers,Midwest,5.0,3186.67
174,2024-04-07,Customer_018,Tablet,Mobile Devices,Southeast,1.0,1936.78
175,2024-07-23,Customer_032,Headset,Peripherals,Midwest,6.0,343.38
176,2024-02-12,Customer_035,Tablet,Mobile Devices,Northeast,9.0,1674.03
177,2024-12-04,Customer_029,Tablet,Mobile Devices,Northeast,2.0,1573.24
178,2024-06-29,Customer_004,Monitor,Computers,Southeast,1.0,1281.65
179,2024-12-13,Customer_029,Mouse,Peripherals,Southeast,7.0,
180,2024-11-26,Customer_044,Smartphone,Mobile Devices,Midwest,2.0,2025.76
181,2024-02-09,Customer_016,Tablet,Mobile Devices,Southeast,6.0,1769.73
182,2024-07-17,Customer_014,Notebook,Computers,North,3.0,3499.0
183,2024-03-10,Customer_006,Tablet,Mobile Devices,Northeast,8.0,1638.1
184,2024-10-08,Customer_045,Mouse,Peripherals,South,6.0,127.54
185,2024-03-03,Customer_024,Headset,Peripherals,North,6.0,350.92
186,2024-10-09,Customer_046,Keyboard,Peripherals,Midwest,6.0,247.56
187,2024-10-21,Customer_044,Keyboard,Peripherals,North,7.0,270.19
188,2024-10-09,Customer_004,Tablet,Mobile Devices,Southeast,3.0,2004.1
189,2024-03-23,Customer_019,Keyboard,Peripherals,Southeast,3.0,235.31
190,2024-10-09,Customer_042,Tablet,Mobile Devices,South,4.0,1872.93
191,2024-12-03,Customer_003,Keyboard,Peripherals,Southeast,10.0,224.06
192,2024-10-22,Customer_002,Notebook,Computers,Midwest,1.0,3970.97
193,2024-06-03,Customer_005,Mouse,Peripherals,Southeast,9.0,112.43
194,2024-08-25,Customer_047,Smartphone,Mobile Devices,Northeast,8.0,2144.31
195,2024-09-20,Customer_016,Monitor,Computers,South,3.0,1293.84
196,2024-07-15,Customer_021,Notebook,Computers,North,1.0,3279.72
197,2024-03-22,Customer_002,Mouse,Peripherals,Southeast,6.0,108.83
198,2024-05-03,Customer_042,Monitor,Computers,Midwest,9.0,1184.6
199,2024-02-25,Customer_024,Tablet,Mobile Devices,Southeast,9.0,1534.42
200,2024-04-09,Customer_036,Monitor,Computers,Northeast,1.0,1225.3
